Age,SystolicBP,DiastolicBP,BS,BodyTemp,HeartRate,label_count,record_count,labels
19,120,80,7.0,98.0,70,2,34,low risk | mid risk
48,120,80,11.0,98.0,88,3,24,high risk | low risk | mid risk
31,120,60,6.1,98.0,76,2,20,low risk | mid risk
40,120,95,11.0,98.0,80,2,9,high risk | mid risk
50,130,100,16.0,98.0,75,2,9,high risk | mid risk
60,120,85,15.0,98.0,60,2,9,high risk | mid risk
17,85,60,9.0,102.0,86,2,7,high risk | mid risk
15,120,80,7.5,98.0,70,2,5,low risk | mid risk
35,120,60,6.1,98.0,76,2,5,low risk | mid risk
12,90,60,7.5,102.0,66,2,4,low risk | mid risk
12,95,60,6.9,98.0,65,2,4,low risk | mid risk
16,100,70,6.9,98.0,80,2,4,low risk | mid risk
17,90,65,7.5,103.0,67,2,4,low risk | mid risk
18,90,60,6.9,98.0,70,2,4,low risk | mid risk
19,120,75,6.9,98.0,66,2,4,low risk | mid risk
20,100,90,7.5,98.0,88,2,4,low risk | mid risk
21,90,65,6.9,98.0,76,2,4,low risk | mid risk
21,120,80,6.9,98.0,76,2,4,low risk | mid risk
21,120,80,7.5,98.0,77,2,4,low risk | mid risk
22,100,65,7.5,98.0,70,2,4,low risk | mid risk
22,120,90,7.5,98.0,82,2,4,low risk | mid risk
23,100,85,7.5,98.0,66,2,4,low risk | mid risk
23,120,80,7.5,98.0,70,2,4,low risk | mid risk
28,90,60,7.5,98.0,82,2,4,low risk | mid risk
28,120,90,6.9,98.0,70,2,4,low risk | mid risk
42,130,80,18.0,98.0,70,2,4,high risk | mid risk
49,120,90,7.5,98.0,77,2,4,low risk | mid risk
60,120,80,7.5,98.0,75,2,4,low risk | mid risk
13,90,65,7.5,101.0,80,2,3,high risk | low risk
22,90,60,6.8,98.0,77,2,3,low risk | mid risk
25,120,100,6.8,98.0,60,2,3,low risk | mid risk
25,100,90,6.9,98.0,76,2,2,high risk | low risk
35,120,80,6.9,98.0,80,2,2,high risk | low risk
40,120,90,6.9,98.0,80,2,2,high risk | low risk
55,110,85,6.9,98.0,88,2,2,high risk | low risk
