threshold,coverage,error_rate,overall_error_rate
0.4,1.0,0.22167487684729065,0.22167487684729065
0.45,1.0,0.22167487684729065,0.22167487684729065
0.5,0.9014778325123153,0.23497267759562843,0.22167487684729065
0.55,0.7931034482758621,0.21739130434782608,0.22167487684729065
0.6,0.7389162561576355,0.2,0.22167487684729065
0.65,0.6847290640394089,0.20863309352517986,0.22167487684729065
0.7,0.3793103448275862,0.09090909090909091,0.22167487684729065
0.75,0.2955665024630542,0.11666666666666667,0.22167487684729065
0.8,0.16748768472906403,0.0,0.22167487684729065
0.85,0.11822660098522167,0.0,0.22167487684729065
